title,author_last,genre,length (pages),would read again,avg rating,my rating,month read,month added
Speak,Anderson,"Young Adult,Fiction,Contemporary,Realistic Fiction,Mental Health,Coming Of Age,Teen",224,N,4.05,4,5/24,10/22
The Body,King,"Horror,Fiction,Coming Of AgeThriller,Mystery,Short Stories,Audiobook",192,N,4.03,5,12/23,10/22
Sharp Objects,Flynn,"Mystery,Fiction,Thriller,Mystery Thriller,Crime,Audiobook,Suspense",254,Y,4.02,5,,10/22
A Flicker in the Dark,Willingham,"Thriller,Mystery,Mystery Thriller,Fiction,Audiobook,Suspense,Crime",357,N,4,5,,7/23
If It Bleeds,King,"Horror,Fiction,Short Stories,Thriller,Mystery,Audiobook,Fantasy",438,N,3.99,4,8/23,10/22
The Watchers,Shine,"Horror,Fantasy,Fiction,Thriller,Mystery,Paranormal,Adult",310,Y,3.97,5,5/24,4/24
The Girl on the Train,Hawkins,"Fiction,MysteryThriller,Mystery Thriller,Crime,Suspense,Contemporary",336,N,3.96,4,,10/22
The Goldfinch,Tartt,"Fiction,Contemporary,Literary Fiction,Audiobook,Mystery,Art,Adult",771,Y,3.95,4,,10/22
The Woman in the Window,Finn,"Thriller,Mystery,Fiction,Mystery Thriller,Suspense,Crime,Adult",455,N,3.95,5,,10/22
How Adam Smith Can Change Your Life,Roberts,"Philosophy,Economics,Nonfiction,Self Help,Psychology,Business,History",261,N,3.93,5,,10/22
Rock Paper Scissors,Feeney,"Thriller,Mystery,Mystery Thriller,Fiction,Audiobook,Suspense,Adult",294,N,3.92,5,10/23,6/23
The Gunslinger,King,"Fantasy,Fiction,Horror,Science Fiction,Westerns,Audiobook,Adventure",231,N,3.92,4,,12/23
1922,King,"Horror,Fiction,Thriller,Audiobook,Historical Fiction,Short Stories,Novella",132,N,3.91,,,9/23
Hostage,Mackintosh,"Thriller,Mystery Thriller,Fiction,Mystery,Suspense,Audiobook,Adult",357,N,3.9,5,7/23,6/23
Strange Weather,Hill,"Horror,Short Stories,Fiction,Fantasy,Science Fiction,Audiobook,Thriller",432,N,3.86,4,,10/22
Starling House,Harrow,"Fantasy,Horror,Gothic,Fiction,Romance,Mystery,Adult",308,N,3.85,4,11/23,11/23
Pieces of Her,Slaughter,"Thriller,Mystery,Fiction,Audiobook,Mystery Thriller,Crime,Suspense",476,N,3.83,5,,10/22
